REPOSITORY                                      TAG                                        IMAGE ID       CREATED              SIZE
ujamii/prometheus-sentry-exporter               latest                                     fa2534e641c4   21 months ago        498MB
curlimages/curl                                 7.77.0                                     e062233fb4a9   21 months ago        8.25MB
rocket.chat                                     3.14.0                                     c15eb6a532b2   21 months ago        830MB
maxmindinc/geoipupdate                          v4.7.1                                     8ec32cc727c7   22 months ago        10.6MB
wrouesnel/postgres_exporter                     latest                                     9fe9d3d02141   2 years ago          88.6MB
docker.elastic.co/elasticsearch/elasticsearch   7.11.0                                     d3e8b103c135   2 years ago          819MB
docker.elastic.co/kibana/kibana                 7.11.0                                     f48b11156469   2 years ago          1.01GB
vptech/sentry-exporter                          latest                                     07b84299581c   2 years ago          16.5MB
gralinte/front-admin                            14.15-alpine3.12                           74dd652d714f   2 years ago          491MB
gcr.io/cadvisor/cadvisor                        latest                                     68c29634fe49   2 years ago          163MB
golang                                          1.15.3                                     4a581cd6feb1   2 years ago          839MB
clickhouse-self-hosted-local                    latest                                     abe55fc6544d   2 years ago          497MB
yandex/clickhouse-server                        20.3.9.70                                  abe55fc6544d   2 years ago          497MB
ibmcom/curl                                     4.2.0-build.2                              99430ee04646   3 years ago          376MB
docker.elastic.co/kibana/kibana                 7.4.2                                      230d3ded1abc   3 years ago          1.1GB
docker.elastic.co/elasticsearch/elasticsearch   7.4.2                                      b1179d41a7b4   3 years ago          855MB
postgres                                        9.6.15                                     afd8110f1813   3 years ago          211MB
zabbix/zabbix-web-nginx-pgsql                   alpine-4.2.6                               a937389758a0   3 years ago          118MB
zabbix/zabbix-server-pgsql                      alpine-4.2.6                               40dbc83a000f   3 years ago          35.1MB
rocket.chat                                     1.2                                        9ec4274ca454   3 years ago          696MB
local_seafile/server                            latest                                     5dfda333f5cf   5 years ago          831MB


Ответ на вопрос: 
 - Образ это архив слоев, а контейнер это "запущеный" образ, то есть, слои + параметры. Соответственно, вывод команды `docker inspect` для образа и комнтейнера отличается этими параметрами и описанием слоев. Для образа это метаданные создания этого образа, для контейнера просто образ который запущен, также актуальны такие параметры как сеть, примонтированые пути, текущие состояние контейнера.
